filename;black_mass_quarter_1;black_mass_quarter_2;black_mass_quarter_3;black_mass_quarter_4;normalized_black_mass_quarter_1;normalized_black_mass_quarter_2;normalized_black_mass_quarter_3;normalized_black_mass_quarter_4;center_of_gravity_x;center_of_gravity_y;normalized_center_of_gravity_x;normalized_center_of_gravity_y;horizontal_moment_of_inertia;vertical_moment_of_inertia;normalized_horizontal_moment_of_inertia;normalized_vertical_moment_of_inertia
 .png;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0
ا.png;195;97;54;215;0.6190476190476191;0.30793650793650795;0.17142857142857143;0.6825396825396826;43.254901960784316;6.873440285204991;0.4806100217864924;0.49096002037178504;4116.014260249554;275836.54901960783;3.2666779843250433;218.9178960473078
ب.png;334;379;421;603;0.16792357968828556;0.19054801407742583;0.21166415284062343;0.3031674208144796;38.9153713298791;55.85319516407599;0.49891501704973207;0.5422640307191844;1712253.5647668391;321652.55958549224;213.1259104763305;40.03641518365599
ت.png;153;197;679;835;0.08333333333333333;0.10729847494553377;0.3698257080610022;0.45479302832244006;53.41523605150215;55.47424892703863;0.7317155623493445;0.53858494103921;1735958.7639484978;732730.6072961374;230.87628194553767;97.45053960581691
ث.png;266;153;692;885;0.12129502963976288;0.06976744186046512;0.31554947560419516;0.40355677154582764;62.5501002004008;54.78356713426854;0.7273267465162884;0.531879292565714;1750886.501002004;1155243.98997996;197.66160544163512;130.41815195077444
ج.png;569;535;540;428;0.33628841607565013;0.31619385342789597;0.3191489361702128;0.25295508274231676;44.321911196911195;32.75965250965251;0.4665464336516968;0.4487623631459248;672926.306949807;2503762.28523166;97.033353561616;361.03277364551695
ح.png;569;474;540;356;0.33628841607565013;0.2801418439716312;0.3191489361702128;0.21040189125295508;44.14182568334193;32.04177411036617;0.4646507966667571;0.43892841247076947;655747.6162970604;2501407.997937081;94.55625325119833;360.69329458357333
خ.png;570;552;596;356;0.25132275132275134;0.24338624338624337;0.26278659611992944;0.15696649029982362;70.77097396335583;32.319189971070394;0.5616743965345701;0.4427286297406903;659706.6962391514;3071898.212632594;71.72284151328022;333.9745828041524
د.png;6;211;265;332;0.009404388714733543;0.33072100313479624;0.4153605015673981;0.5203761755485894;40.26781326781327;25.43243243243243;0.6825053096239537;0.578009828009828;111353.78378378379;249167.61670761666;42.89436971640362;95.98136236811119
ذ.png;135;110;265;435;0.13636363636363635;0.1111111111111111;0.2676767676767677;0.4393939393939394;63.35873015873016;23.986243386243387;0.6962497819640677;0.5451418951418951;125100.82116402118;716657.3904761905;31.24396132967562;178.98536225679084
ر.png;0;266;182;422;0.0;0.2066822066822067;0.1414141414141414;0.3278943278943279;49.4183908045977;47.1183908045977;0.6335691128794577;0.7032595642477268;238520.80574712643;449441.7057471265;45.641179821493765;86.00109180006247
ز.png;0;319;182;505;0.0;0.17575757575757575;0.10027548209366391;0.27823691460055094;71.48608349900596;47.133200795228625;0.6498734863545996;0.7034806088840093;240182.15109343937;1085755.305168986;32.58916568432013;147.32093692930613
س.png;57;787;780;332;0.026110856619331196;0.3605130554283097;0.35730645900137425;0.152084287677508;43.1319018404908;61.00511247443763;0.5828635383850108;0.5169924785969291;2498077.9488752554;722305.9693251534;286.08313660962614;82.71941929971982
ش.png;0;553;837;963;0.0;0.15621468926553672;0.2364406779661017;0.27203389830508473;77.30004249893753;66.41308967275818;0.6441670208244794;0.5628227938369337;2863826.4768380793;2376120.1699957503;202.2476325450621;167.8050967511123
ص.png;293;1320;952;390;0.10284310284310284;0.46332046332046334;0.33415233415233414;0.13689013689013688;36.65820642978004;87.10592216582064;0.4953811679700005;0.5619736913923913;6526857.846362099;1125110.788494078;569.0373013393286;98.09161190009398
ض.png;169;719;1076;1128;0.0438961038961039;0.18675324675324675;0.2794805194805195;0.29298701298701296;61.19275549805951;87.7522639068564;0.6058688663174209;0.566143638108751;6556410.234152651;1531977.1177231567;418.806147183178;97.85864693217226
ط.png;381;0;844;1197;0.17255434782608695;0.0;0.3822463768115942;0.5421195652173914;70.9570602807597;49.12138728323699;0.7391360445912469;0.5339281226438803;1446748.3121387283;1475475.5342691988;163.80755345773645;167.06018277504515
ظ.png;381;136;844;1197;0.17255434782608695;0.06159420289855073;0.3822463768115942;0.5421195652173914;68.77677873338546;49.87138389366693;0.7164247784727652;0.5420802597137709;1474032.6853010166;1693479.5406567631;166.8968167233941;191.7436074113183
ع.png;846;268;614;313;0.4083011583011583;0.12934362934362933;0.29633204633204635;0.15106177606177607;59.92307692307692;26.04654581087702;0.5302927161334241;0.3519803487956354;602678.5781479666;2763834.923076923;72.07349654962529;330.5231909922175
غ.png;760;262;831;319;0.2852852852852853;0.09834834834834835;0.3119369369369369;0.11974474474474474;85.92633517495396;25.94429097605893;0.5967106609371803;0.35059852670349906;604528.2592081032;3610114.2136279927;56.731255556315986;338.7869945221465
ف.png;18;257;745;1272;0.008097165991902834;0.11560953666216824;0.3351327035537562;0.5721997300944669;59.93891797556719;70.64223385689354;0.7587204807033822;0.6142802944077699;2795856.6317626527;722071.4485165793;307.74426326501407;79.4795210254903
ق.png;8;621;598;968;0.0034231921266581087;0.26572528883183566;0.2558836114676936;0.41420624732563116;72.90751708428246;50.46879271070615;0.6395396235463374;0.6154730818378799;1183110.6123006833;2184592.2259681094;126.56296665604229;233.696215871642
ل.png;1;435;512;604;0.0005012531328320802;0.21804511278195488;0.25664160401002506;0.30275689223057645;76.81507731958763;43.97680412371134;0.6679571940833707;0.619391607376216;768429.1649484537;1924357.927190722;94.11257378425641;235.6837632811662
م.png;375;549;201;0;0.3633720930232558;0.5319767441860465;0.19476744186046513;0.0;29.076444444444444;22.621333333333332;0.3342120051085568;0.47127777777777774;193468.688;385609.42577777774;46.32870881226054;92.33942188165176
ن.png;71;239;542;567;0.03997747747747748;0.13457207207207209;0.30518018018018017;0.31925675675675674;68.66666666666667;40.18886539816772;0.7079037800687286;0.5430927756509152;771125.3840732911;959253.3333333333;107.4290030751311;133.63796786477198
ه.png;153;195;240;223;0.391304347826087;0.49872122762148335;0.6138107416879796;0.5703324808184144;26.114673242909987;17.212083847102342;0.5556313455938295;0.49177382420292404;67523.5215782984;125144.33538840937;41.04773348224827;76.07558382274125
و.png;0;570;164;377;0.0;0.5277777777777778;0.15185185185185185;0.3490740740740741;38.65796579657966;42.64716471647165;0.5295611752956118;0.6991338478110106;176019.6885688569;549346.0270027004;39.52833787757846;123.36537772348987
پ.png;683;847;148;320;0.2790032679738562;0.3459967320261438;0.06045751633986928;0.13071895424836602;44.44494494494494;55.95595595595596;0.45819530871077263;0.543261708310252;1735298.1241241242;744421.443943944;173.68612992934882;74.50920267680351
چ.png;615;617;596;509;0.36347517730496454;0.36465721040189125;0.35224586288416077;0.3008274231678487;44.97518185708173;33.897304236200256;0.47342296691664976;0.46434663337260623;721741.353016688;2540430.560547711;104.07229315309128;366.3201961856829
ژ.png;1;525;182;559;0.0004967709885742673;0.2608047690014903;0.09041231992051664;0.2776949826130154;70.10181531176006;46.7861089187056;0.5746050435390169;0.6983001331150089;265521.03551696916;1989807.865824783;32.48361090249195;243.4313513365284
ک.png;0;666;821;1178;0.0;0.25227272727272726;0.3109848484848485;0.4462121212121212;62.06529080675422;70.54146341463415;0.6973628180534182;0.5878455284552846;2843077.668292683;1787280.6393996247;266.20577418470816;167.3483744756203
گ.png;0;919;821;1367;0.0;0.2784848484848485;0.24878787878787878;0.41424242424242425;73.59253299002253;73.3437399420663;0.669023027182023;0.6111978328505525;3067514.885741873;3492746.146765369;232.3874913440813;264.60198081555825
